region,state,zip3,Number of Records,postal_cd_key
Midwest,IA,507,1,50703
Midwest,IA,507,1,50704
Midwest,IA,507,1,50706
Midwest,IA,507,1,50707
Midwest,IA,508,1,50801
Midwest,IA,508,1,50830
Midwest,IA,508,1,50831
Midwest,IA,508,1,50833
Midwest,IA,508,1,50835
Midwest,IA,508,1,50836
Midwest,IA,508,1,50837
Midwest,IA,508,1,50839
Midwest,IA,508,1,50840
Midwest,IA,508,1,50841
Midwest,IA,508,1,50842
Midwest,IA,508,1,50843
Midwest,IA,508,1,50845
Midwest,IA,508,1,50846
Midwest,IA,508,1,50847
Midwest,IA,508,1,50848
Midwest,IA,508,1,50849
Midwest,IA,508,1,50851
Midwest,IA,508,1,50853
Midwest,IA,508,1,50854
Midwest,IA,508,1,50857
Midwest,IA,508,1,50858
Midwest,IA,508,1,50859
Midwest,IA,508,1,50860
Midwest,IA,508,1,50861
Midwest,IA,508,1,50862
Midwest,IA,508,1,50863
Midwest,IA,508,1,50864
Midwest,IA,509,1,50936
Midwest,IA,509,1,50940
Midwest,IA,509,1,50947
Midwest,IA,509,1,50950
Midwest,IA,509,1,50980
Midwest,IA,509,1,50981
Midwest,IA,509,1,50982
Midwest,IA,509,1,50983
Midwest,IA,510,1,51001
Midwest,IA,510,1,51002
Midwest,IA,510,1,51003
Midwest,IA,510,1,51004
Midwest,IA,510,1,51005
Midwest,IA,510,1,51006
Midwest,IA,510,1,51007
Midwest,IA,510,1,51008
Midwest,IA,510,1,51009
Midwest,IA,510,1,51010
Midwest,IA,510,1,51011
Midwest,IA,510,1,51012
Midwest,IA,510,1,51014
Midwest,IA,510,1,51015
Midwest,IA,510,1,51016
Midwest,IA,510,1,51018
Midwest,IA,510,1,51019
Midwest,IA,510,1,51020
Midwest,IA,510,1,51022
Midwest,IA,510,1,51023
Midwest,IA,510,1,51024
Midwest,IA,510,1,51025
Midwest,IA,510,1,51026
Midwest,IA,510,1,51027
Midwest,IA,510,1,51028
Midwest,IA,510,1,51029
Midwest,IA,510,1,51030
Midwest,IA,510,1,51031
Midwest,IA,510,1,51033
Midwest,IA,510,1,51034
Midwest,IA,510,1,51035
Midwest,IA,510,1,51036
Midwest,IA,510,1,51037
Midwest,IA,510,1,51038
Midwest,IA,510,1,51039
Midwest,IA,510,1,51040
Midwest,IA,510,1,51041
Midwest,IA,510,1,51044
Midwest,IA,510,1,51045
Midwest,IA,510,1,51046
Midwest,IA,510,1,51047
Midwest,IA,510,1,51048
Midwest,IA,510,1,51049
Midwest,IA,510,1,51050
Midwest,IA,510,1,51051
Midwest,IA,510,1,51052
Midwest,IA,510,1,51053
Midwest,IA,510,1,51054
Midwest,IA,510,1,51055
Midwest,IA,510,1,51056
Midwest,IA,510,1,51058
Midwest,IA,510,1,51060
Midwest,IA,510,1,51061
Midwest,IA,510,1,51062
Midwest,IA,510,1,51063
Midwest,IA,511,1,51101
Midwest,IA,511,1,51102
Midwest,IA,511,1,51103
Midwest,IA,511,1,51104
Midwest,IA,511,1,51105
Midwest,IA,511,1,51106
Midwest,IA,511,1,51108
Midwest,IA,511,1,51109
Midwest,IA,511,1,51111
Midwest,IA,512,1,51201
Midwest,IA,512,1,51230
Midwest,IA,512,1,51231
Midwest,IA,512,1,51232
Midwest,IA,512,1,51234
Midwest,IA,512,1,51235
Midwest,IA,512,1,51237
Midwest,IA,512,1,51238
Midwest,IA,512,1,51239
Midwest,IA,512,1,51240
Midwest,IA,512,1,51241
Midwest,IA,512,1,51242
Midwest,IA,512,1,51243
Midwest,IA,512,1,51244
Midwest,IA,512,1,51245
Midwest,IA,512,1,51246
Midwest,IA,512,1,51247
Midwest,IA,512,1,51248
Midwest,IA,512,1,51249
Midwest,IA,512,1,51250
Midwest,IA,513,1,51301
Midwest,IA,513,1,51331
Midwest,IA,513,1,51333
Midwest,IA,513,1,51334
Midwest,IA,513,1,51338
Midwest,IA,513,1,51340
Midwest,IA,513,1,51341
Midwest,IA,513,1,51342
Midwest,IA,513,1,51343
Midwest,IA,513,1,51344
Midwest,IA,513,1,51345
Midwest,IA,513,1,51346
Midwest,IA,513,1,51347
Midwest,IA,513,1,51350
Midwest,IA,513,1,51351
Midwest,IA,513,1,51354
Midwest,IA,513,1,51355
Midwest,IA,513,1,51357
Midwest,IA,513,1,51358
